feature,importance
tire_compound,0.6084959083399633
avg_brake,0.225657287216446
heavy_brake_events,0.07491039306911305
tire_wear,0.01832656212737266
avg_throttle,0.007645037431923614
max_steering_abs,0.005295707732929071
throttle_consistency,0.004255408560901627
exit_acceleration_sector_1,0.004037253866689697
min_speed_sector_3,0.0038967933045682504
speed_variance,0.003503480430554662
track_temperature,0.0033204540880156495
temp_delta_from_optimal,0.0032760637335526085
exit_acceleration_sector_2,0.0029132286611430573
avg_speed_sector_3,0.0027992867652052553
max_speed,0.002710747669483654
avg_speed,0.0027064121571370122
steering_smoothness,0.0026288654547186267
avg_gear,0.002456009637730246
min_speed_sector_1,0.0024504056113027286
max_brake,0.002442551052250649
avg_speed_sector_1,0.002386496424351437
gear_changes,0.002293511777634807
avg_steering_abs,0.00212922638134245
avg_speed_sector_2,0.0019448489779570054
full_throttle_pct,0.0019314432777241602
min_speed_sector_2,0.00186127134899101
min_speed,0.001730623856934831
exit_acceleration_sector_3,0.0015852889661770874
brake_to_throttle_time,0.00040943207788575096
throttle_lifts,0.0
max_gear,0.0
brake_applications,0.0
